notebook,author,url
TidyTuesday Exercises,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/TidyTuesday-Exercises/
Coefficient of variation,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/67-coeff-var/index.html
Intro to DVC Workshop,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Intro-to-DVC-Workshop/
Intersect,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/43-intersect/index.html
Mcapitata Development ITS2 Analysis Part 1,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Mcapitata-Development-ITS2-Analysis-Part-1/
Contra random,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/60-contra-random/index.html
Mcapitata Development 16S Analysis Part 2,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Mcapitata-Development-16S-Analysis-Part-2/
Biomineralization,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/62-biomin/index.html
WGCNA Attempt 1 for ceabigr project exon expression data,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/WGCNA-Attempt-1-for-ceabigr-project-exon-expression-data/
Barnacle 35 opt,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/57-barnacle-35opt/index.html
Contra,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/63-contra/index.html
Barnacle (cont.),Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/64-barnacle/index.html
Merry,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/36-merry/index.html
Mcapitata Development 16S Analysis Part 1,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Mcapitata-Development-16S-Analysis-Part-1/
Pt Whitney,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/49-ptwhit/index.html
Barnacle (earlier),Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/56-barnacle/index.html
Barnacle,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/68-barnacle/index.html
Linksmas,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/69-linksmas/index.html
Biomineralization (earlier),Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/58-biomin/index.html
Detection,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/76-detection/index.html
WGCNA Attempt 2 for ceabigr project exon expression data,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/WGCNA-Attempt-2-for-ceabigr-project-exon-expression-data/
Mcapitata Development ITS2 Analysis Part 2,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Mcapitata-Development-ITS2-Analysis-Part-2/
FFS,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/47-ffs/index.html
Contra 24,Steven Roberts,https://sr320.github.io/tumbling-oysters/posts/58-contra-24/index.html
Putnam Lab Oyster 16S Analysis in Mothur,Ariana Huffmyer,https://ahuffmyer.github.io/ASH_Putnam_Lab_Notebook/Putnam-Lab-Oyster-16S-Analysis-in-Mothur/
